idx,task,reward
128,SQA_00128,0.2496
129,SQA_00129,0.2595
130,SQA_00130,0.284
131,SQA_00131,0.264
132,SQA_00132,0.28559999999999997
133,SQA_00133,0.276
134,SQA_00134,0.2964
135,SQA_00135,0.2694
136,SQA_00136,0.294
137,SQA_00137,0.2676
138,SQA_00138,0.982
139,SQA_00139,0.273
140,SQA_00140,0.9855999999999999
141,SQA_00141,0.9768571428571429
142,SQA_00142,0.9712
143,SQA_00143,0.9765999999999999
144,SQA_00144,0.297
145,SQA_00145,0.9855999999999999
146,SQA_00146,0.2794285714285714
147,SQA_00147,0.2712
148,SQA_00148,1.0
149,SQA_00149,0.976
150,SQA_00000,0.28559999999999997
151,SQA_00001,0.964
152,SQA_00002,0.9665714285714285
153,SQA_00003,0.976
154,SQA_00004,0.28559999999999997
155,SQA_00005,0.28200000000000003
156,SQA_00006,0.9794285714285713
157,SQA_00007,0.976
158,SQA_00008,0.297
159,SQA_00009,0.264
160,SQA_00010,0.29279999999999995
161,SQA_00011,0.294
162,SQA_00012,0.2694
163,SQA_00013,0.9496
164,SQA_00014,0.276
165,SQA_00015,0.29100000000000004
166,SQA_00016,0.973
167,SQA_00017,0.9768571428571429
168,SQA_00018,0.273
169,SQA_00019,0.264
170,SQA_00020,0.984
171,SQA_00021,0.2794285714285714
172,SQA_00022,0.255
173,SQA_00023,0.9712
174,SQA_00024,0.28200000000000003
175,SQA_00025,1.0
176,SQA_00026,0.29100000000000004
177,SQA_00027,0.28559999999999997
178,SQA_00028,0.284
179,SQA_00029,0.2794285714285714
180,SQA_00030,0.9712
181,SQA_00031,0.29100000000000004
182,SQA_00032,0.27799999999999997
183,SQA_00033,0.3
184,SQA_00034,0.2712
185,SQA_00035,0.27799999999999997
186,SQA_00036,0.2712
187,SQA_00037,0.9855999999999999
188,SQA_00038,0.2717142857142857
189,SQA_00039,0.29100000000000004
190,SQA_00040,0.3
191,SQA_00041,0.2676
192,SQA_00042,0.28800000000000003
193,SQA_00043,0.2784
194,SQA_00044,0.28559999999999997
195,SQA_00045,0.9797499999999999
196,SQA_00046,0.3
197,SQA_00047,0.9783999999999999
198,SQA_00048,0.2766
199,SQA_00049,0.273
200,SQA_00050,0.2496
201,SQA_00051,0.2982
202,SQA_00052,0.276
203,SQA_00053,0.294
204,SQA_00054,0.2794285714285714
205,SQA_00055,0.276
206,SQA_00056,0.2982
207,SQA_00057,0.982
208,SQA_00058,0.29100000000000004
209,SQA_00059,0.9794285714285713
210,SQA_00060,0.276
211,SQA_00061,0.26914285714285713
212,SQA_00062,0.976
213,SQA_00063,0.28379999999999994
214,SQA_00064,0.988
215,SQA_00065,0.268
216,SQA_00066,0.2712
217,SQA_00067,0.9568
218,SQA_00068,0.2712
219,SQA_00069,0.2712
220,SQA_00070,0.9794285714285713
221,SQA_00071,0.276
222,SQA_00072,0.28200000000000003
223,SQA_00073,0.28800000000000003
224,SQA_00074,0.976
225,SQA_00075,0.276
226,SQA_00076,0.264
227,SQA_00077,0.2766
228,SQA_00078,0.3
229,SQA_00079,0.294
230,SQA_00080,0.297
231,SQA_00081,0.2717142857142857
232,SQA_00082,0.276
233,SQA_00083,0.28379999999999994
234,SQA_00084,0.2897142857142857
235,SQA_00085,0.29279999999999995
236,SQA_00086,0.9712
237,SQA_00087,0.276
238,SQA_00088,0.276
239,SQA_00089,0.2964
240,SQA_00090,0.976
241,SQA_00091,0.284
242,SQA_00092,0.2766
243,SQA_00093,0.9927999999999999
244,SQA_00094,0.29100000000000004
245,SQA_00095,0.29279999999999995
246,SQA_00096,0.2784
247,SQA_00097,0.3
248,SQA_00098,0.264
249,SQA_00099,0.964
250,SQA_00100,0.264
251,SQA_00101,0.28379999999999994
252,SQA_00102,0.2794285714285714
253,SQA_00103,0.276
254,SQA_00104,0.976
255,SQA_00105,0.27749999999999997
256,SQA_00106,0.28200000000000003
257,SQA_00107,0.976
258,SQA_00108,0.28500000000000003
259,SQA_00109,0.264
260,SQA_00110,0.2712
261,SQA_00111,0.9794285714285713
262,SQA_00112,0.28200000000000003
263,SQA_00113,0.29279999999999995
264,SQA_00114,0.976
265,SQA_00115,0.2712
266,SQA_00116,0.976
267,SQA_00117,0.2955
268,SQA_00118,0.2794285714285714
269,SQA_00119,0.9712
270,SQA_00120,0.2955
271,SQA_00121,0.276
272,SQA_00122,0.273
273,SQA_00123,0.276
274,SQA_00124,0.2784
275,SQA_00125,0.268
276,SQA_00126,0.9712
277,SQA_00127,0.2784
278,SQA_00128,0.2964
279,SQA_00129,0.29774999999999996
280,SQA_00130,0.264
281,SQA_00131,0.2694
282,SQA_00132,0.3
283,SQA_00133,0.264
284,SQA_00134,0.28559999999999997
285,SQA_00135,0.2802
286,SQA_00136,0.294
287,SQA_00137,0.28
288,SQA_00138,0.9855999999999999
289,SQA_00139,0.264
290,SQA_00140,1.0
291,SQA_00141,0.9794285714285713
292,SQA_00142,0.9712
293,SQA_00143,0.28559999999999997
294,SQA_00144,0.2955
295,SQA_00145,0.96175
296,SQA_00146,0.276
297,SQA_00147,0.28200000000000003
298,SQA_00148,1.0
299,SQA_00149,0.976
300,SQA_00000,1.0
301,SQA_00001,0.9712
302,SQA_00002,0.28200000000000003
303,SQA_00003,0.276
304,SQA_00004,0.2694
305,SQA_00005,0.2794285714285714
306,SQA_00006,0.26914285714285713
307,SQA_00007,0.976
308,SQA_00008,0.294
309,SQA_00009,0.2568
310,SQA_00010,0.2784
311,SQA_00011,0.294
312,SQA_00012,0.297
313,SQA_00013,0.9794285714285713
314,SQA_00014,0.29100000000000004
315,SQA_00015,0.2784
316,SQA_00016,0.255
317,SQA_00017,0.294
318,SQA_00018,0.273
319,SQA_00019,0.28559999999999997
320,SQA_00020,0.982
321,SQA_00021,0.2794285714285714
322,SQA_00022,0.28559999999999997
323,SQA_00023,0.9712
324,SQA_00024,0.29100000000000004
325,SQA_00025,1.0
326,SQA_00026,0.28559999999999997
327,SQA_00027,0.2784
328,SQA_00028,0.276
329,SQA_00029,0.2568
330,SQA_00030,0.9621999999999999
331,SQA_00031,0.29100000000000004
332,SQA_00032,0.29279999999999995
333,SQA_00033,0.273
334,SQA_00034,0.2712
335,SQA_00035,0.2694
336,SQA_00036,0.976
337,SQA_00037,0.9855999999999999
338,SQA_00038,0.2748
339,SQA_00039,0.28379999999999994
340,SQA_00040,0.29279999999999995
341,SQA_00041,0.2478
342,SQA_00042,0.28200000000000003
343,SQA_00043,0.284
344,SQA_00044,0.3
345,SQA_00045,0.9783999999999999
346,SQA_00046,0.3
347,SQA_00047,0.2496
348,SQA_00048,0.3
349,SQA_00049,0.273
350,SQA_00050,0.26657142857142857
351,SQA_00051,0.3
352,SQA_00052,0.28800000000000003
353,SQA_00053,0.294
354,SQA_00054,0.976
355,SQA_00055,0.276
356,SQA_00056,0.3
357,SQA_00057,0.255
358,SQA_00058,0.27749999999999997
359,SQA_00059,0.9794285714285713
360,SQA_00060,0.276
361,SQA_00061,0.26914285714285713
362,SQA_00062,0.976
363,SQA_00063,0.3
364,SQA_00064,0.9568
365,SQA_00065,0.2496
366,SQA_00066,0.2712
367,SQA_00067,0.968
368,SQA_00068,0.297
369,SQA_00069,0.2712
370,SQA_00070,0.9794285714285713
371,SQA_00071,0.28200000000000003
372,SQA_00072,0.28559999999999997
373,SQA_00073,0.28800000000000003
374,SQA_00074,0.976
375,SQA_00075,0.2712
376,SQA_00076,0.264
377,SQA_00077,0.2712
378,SQA_00078,0.2784
379,SQA_00079,0.2955
380,SQA_00080,0.2622
381,SQA_00081,0.2717142857142857
382,SQA_00082,0.264
383,SQA_00083,0.28379999999999994
384,SQA_00084,0.3
385,SQA_00085,0.3
386,SQA_00086,0.9712
387,SQA_00087,0.2622
388,SQA_00088,0.2794285714285714
389,SQA_00089,0.297
390,SQA_00090,0.976
391,SQA_00091,0.284
392,SQA_00092,0.9837999999999999
393,SQA_00093,0.2694
394,SQA_00094,0.292
395,SQA_00095,0.3
396,SQA_00096,0.2784
397,SQA_00097,0.3
398,SQA_00098,0.2794285714285714
399,SQA_00099,0.964
400,SQA_00100,0.2568
401,SQA_00101,0.29100000000000004
402,SQA_00102,0.2568
403,SQA_00103,0.276
404,SQA_00104,0.976
405,SQA_00105,0.2748
406,SQA_00106,0.28200000000000003
407,SQA_00107,0.976
408,SQA_00108,0.3
409,SQA_00109,0.29279999999999995
410,SQA_00110,0.2964
411,SQA_00111,0.9712
412,SQA_00112,0.28200000000000003
413,SQA_00113,0.29279999999999995
414,SQA_00114,0.976
415,SQA_00115,0.2964
416,SQA_00116,0.976
417,SQA_00117,1.0
418,SQA_00118,0.276
419,SQA_00119,0.973
420,SQA_00120,0.2784
421,SQA_00121,0.274
422,SQA_00122,0.276
423,SQA_00123,0.974
424,SQA_00124,0.2784
425,SQA_00125,0.264
426,SQA_00126,0.976
427,SQA_00127,0.9855999999999999
428,SQA_00128,0.282
429,SQA_00129,0.2694
430,SQA_00130,0.273
431,SQA_00131,0.2784
432,SQA_00132,0.28379999999999994
433,SQA_00133,0.2712
434,SQA_00134,0.2955
435,SQA_00135,0.29100000000000004
436,SQA_00136,0.9712
437,SQA_00137,0.28
438,SQA_00138,0.9797499999999999
439,SQA_00139,0.2712
440,SQA_00140,0.982
441,SQA_00141,0.9794285714285713
442,SQA_00142,0.9712
443,SQA_00143,0.9855999999999999
444,SQA_00144,0.2955
445,SQA_00145,0.9496
446,SQA_00146,0.276
447,SQA_00147,0.2784
448,SQA_00148,1.0
449,SQA_00149,0.9774999999999999
450,SQA_00000,0.964
451,SQA_00001,0.9712
452,SQA_00002,0.9665714285714285
453,SQA_00003,0.976
454,SQA_00004,0.28559999999999997
455,SQA_00005,0.26039999999999996
456,SQA_00006,0.98
457,SQA_00007,0.976
458,SQA_00008,0.9568
459,SQA_00009,0.264
460,SQA_00010,0.3
461,SQA_00011,0.294
462,SQA_00012,0.9783999999999999
463,SQA_00013,0.976
464,SQA_00014,0.297
465,SQA_00015,0.297
466,SQA_00016,0.9693999999999999
467,SQA_00017,0.294
468,SQA_00018,0.273
469,SQA_00019,0.2694
470,SQA_00020,0.984
471,SQA_00021,0.276
472,SQA_00022,0.9855999999999999
473,SQA_00023,0.9712
474,SQA_00024,0.9837999999999999
475,SQA_00025,0.982
476,SQA_00026,0.28200000000000003
477,SQA_00027,0.28559999999999997
478,SQA_00028,0.2955
479,SQA_00029,0.264
480,SQA_00030,0.9712
481,SQA_00031,0.28559999999999997
482,SQA_00032,0.29100000000000004
483,SQA_00033,0.9783999999999999
484,SQA_00034,0.2712
485,SQA_00035,0.2712
486,SQA_00036,0.991
487,SQA_00037,0.984
488,SQA_00038,0.264
489,SQA_00039,0.28559999999999997
490,SQA_00040,0.3
491,SQA_00041,0.2712
492,SQA_00042,0.28800000000000003
493,SQA_00043,0.264
494,SQA_00044,0.3
495,SQA_00045,0.9568
496,SQA_00046,0.3
497,SQA_00047,0.982
498,SQA_00048,0.3
499,SQA_00049,0.273
500,SQA_00050,0.26657142857142857
501,SQA_00051,0.3
502,SQA_00052,0.276
503,SQA_00053,0.294
504,SQA_00054,0.976
505,SQA_00055,0.276
506,SQA_00056,0.28559999999999997
507,SQA_00057,0.28200000000000003
508,SQA_00058,0.2622
509,SQA_00059,0.9783999999999999
510,SQA_00060,0.276
511,SQA_00061,0.26914285714285713
512,SQA_00062,0.976
513,SQA_00063,0.29279999999999995
514,SQA_00064,0.988
515,SQA_00065,0.27075
516,SQA_00066,0.2622
517,SQA_00067,0.9568
518,SQA_00068,0.28379999999999994
519,SQA_00069,0.2712
520,SQA_00070,0.9794285714285713
521,SQA_00071,0.294
522,SQA_00072,0.28379999999999994
523,SQA_00073,0.9768571428571429
524,SQA_00074,0.976
525,SQA_00075,0.276
526,SQA_00076,0.276
527,SQA_00077,0.2406
528,SQA_00078,0.2784
529,SQA_00079,0.2955
530,SQA_00080,0.28200000000000003
531,SQA_00081,0.28714285714285714
532,SQA_00082,0.2676
533,SQA_00083,0.29774999999999996
534,SQA_00084,0.3
535,SQA_00085,0.29774999999999996
536,SQA_00086,0.9712
537,SQA_00087,0.28559999999999997
538,SQA_00088,0.2712
539,SQA_00089,0.29100000000000004
540,SQA_00090,0.976
541,SQA_00091,0.29100000000000004
542,SQA_00092,0.9693999999999999
543,SQA_00093,0.28200000000000003
544,SQA_00094,0.29279999999999995
545,SQA_00095,0.3
546,SQA_00096,0.28200000000000003
547,SQA_00097,0.2496
548,SQA_00098,0.2568
549,SQA_00099,0.964
550,SQA_00100,0.264
551,SQA_00101,0.2982
552,SQA_00102,0.3
553,SQA_00103,0.276
554,SQA_00104,0.976
555,SQA_00105,0.294
556,SQA_00106,0.28200000000000003
557,SQA_00107,1.0
558,SQA_00108,0.2794285714285714
559,SQA_00109,0.29279999999999995
560,SQA_00110,0.28875
561,SQA_00111,0.9712
562,SQA_00112,0.28800000000000003
563,SQA_00113,0.2784
564,SQA_00114,0.9712
565,SQA_00115,0.2496
566,SQA_00116,0.976
567,SQA_00117,0.2955
568,SQA_00118,0.276
569,SQA_00119,0.9794285714285713
570,SQA_00120,0.2766
571,SQA_00121,0.274
572,SQA_00122,0.276
573,SQA_00123,0.974
574,SQA_00124,0.2897142857142857
575,SQA_00125,0.2622
576,SQA_00126,0.976
577,SQA_00127,0.98875
578,SQA_00128,0.2955
579,SQA_00129,0.2766
580,SQA_00130,0.284
581,SQA_00131,0.264
582,SQA_00132,0.28559999999999997
583,SQA_00133,0.2712
584,SQA_00134,0.28559999999999997
585,SQA_00135,0.2892
586,SQA_00136,0.273
587,SQA_00137,0.28
588,SQA_00138,0.2496
589,SQA_00139,0.2712
590,SQA_00140,0.9855999999999999
591,SQA_00141,0.955
592,SQA_00142,0.9712
593,SQA_00143,0.9855999999999999
594,SQA_00144,0.2424
595,SQA_00145,0.96175
596,SQA_00146,0.264
597,SQA_00147,0.2784
598,SQA_00148,0.2766
599,SQA_00149,0.9712
600,SQA_00000,0.28200000000000003
601,SQA_00001,0.276
602,SQA_00002,0.28200000000000003
603,SQA_00003,0.276
604,SQA_00004,0.3
605,SQA_00005,0.964
606,SQA_00006,0.9837999999999999
607,SQA_00007,0.976
608,SQA_00008,0.9693999999999999
609,SQA_00009,0.2622
610,SQA_00010,0.2802
611,SQA_00011,0.294
612,SQA_00012,0.2766
613,SQA_00013,0.9496
614,SQA_00014,0.29279999999999995
615,SQA_00015,0.29100000000000004
616,SQA_00016,0.973
617,SQA_00017,0.294
618,SQA_00018,0.2712
619,SQA_00019,0.29279999999999995
620,SQA_00020,0.28200000000000003
621,SQA_00021,0.2794285714285714
622,SQA_00022,0.2478
623,SQA_00023,0.9712
624,SQA_00024,0.28200000000000003
625,SQA_00025,1.0
626,SQA_00026,0.29279999999999995
627,SQA_00027,0.2784
628,SQA_00028,0.28714285714285714
629,SQA_00029,0.264
630,SQA_00030,0.982
631,SQA_00031,0.29100000000000004
632,SQA_00032,0.2802
633,SQA_00033,0.29100000000000004
634,SQA_00034,0.2712
635,SQA_00035,0.2712
636,SQA_00036,0.976
637,SQA_00037,0.984
638,SQA_00038,0.2676
639,SQA_00039,0.29100000000000004
640,SQA_00040,0.3
641,SQA_00041,0.2897142857142857
642,SQA_00042,0.28200000000000003
643,SQA_00043,0.28200000000000003
644,SQA_00044,0.3
645,SQA_00045,0.9783999999999999
646,SQA_00046,0.9802
647,SQA_00047,0.2955
648,SQA_00048,0.29279999999999995
649,SQA_00049,0.273
650,SQA_00050,0.2712
651,SQA_00051,0.2982
652,SQA_00052,0.2794285714285714
653,SQA_00053,0.294
654,SQA_00054,0.976
655,SQA_00055,0.276
656,SQA_00056,0.3
657,SQA_00057,0.2712
658,SQA_00058,0.2622
659,SQA_00059,0.26914285714285713
660,SQA_00060,0.276
661,SQA_00061,0.264
662,SQA_00062,0.976
663,SQA_00063,0.3
664,SQA_00064,0.9496
665,SQA_00065,0.28559999999999997
666,SQA_00066,0.2766
667,SQA_00067,0.976
668,SQA_00068,0.2892
669,SQA_00069,0.2712
670,SQA_00070,0.9496
671,SQA_00071,0.276
672,SQA_00072,0.29100000000000004
673,SQA_00073,0.2794285714285714
674,SQA_00074,0.976
675,SQA_00075,0.276
676,SQA_00076,0.2712
677,SQA_00077,0.2955
678,SQA_00078,0.2712
679,SQA_00079,0.2955
680,SQA_00080,0.264
681,SQA_00081,0.2717142857142857
682,SQA_00082,0.276
683,SQA_00083,0.276
684,SQA_00084,0.276
685,SQA_00085,0.3
686,SQA_00086,0.9712
687,SQA_00087,0.29279999999999995
688,SQA_00088,0.274
689,SQA_00089,0.2784
690,SQA_00090,0.976
691,SQA_00091,0.284
692,SQA_00092,0.2892
693,SQA_00093,0.28559999999999997
694,SQA_00094,0.276
695,SQA_00095,0.3
696,SQA_00096,0.2712
697,SQA_00097,0.3
698,SQA_00098,0.264
699,SQA_00099,0.3
700,SQA_00100,0.2676
701,SQA_00101,0.2946
702,SQA_00102,0.276
703,SQA_00103,0.276
704,SQA_00104,0.976
705,SQA_00105,0.264
706,SQA_00106,0.28200000000000003
707,SQA_00107,0.976
708,SQA_00108,0.2955
709,SQA_00109,0.3
710,SQA_00110,0.2964
711,SQA_00111,0.9712
712,SQA_00112,0.28200000000000003
713,SQA_00113,0.276
714,SQA_00114,0.9712
715,SQA_00115,0.294
716,SQA_00116,0.976
717,SQA_00117,0.9783999999999999
718,SQA_00118,0.28200000000000003
719,SQA_00119,0.9712
720,SQA_00120,0.28559999999999997
721,SQA_00121,0.276
722,SQA_00122,0.2694
723,SQA_00123,0.976
724,SQA_00124,0.2794285714285714
725,SQA_00125,0.28200000000000003
726,SQA_00126,0.976
727,SQA_00127,0.3
728,SQA_00128,0.3
729,SQA_00129,0.297
730,SQA_00130,0.29279999999999995
731,SQA_00131,0.2694
732,SQA_00132,0.28559999999999997
733,SQA_00133,0.276
734,SQA_00134,0.276
735,SQA_00135,0.29100000000000004
736,SQA_00136,0.294
737,SQA_00137,0.28
738,SQA_00138,0.982
739,SQA_00139,0.264
740,SQA_00140,0.9855999999999999
741,SQA_00141,0.9794285714285713
742,SQA_00142,0.9712
743,SQA_00143,0.28379999999999994
744,SQA_00144,0.964
745,SQA_00145,0.96175
746,SQA_00146,0.276
747,SQA_00147,0.2784
748,SQA_00148,0.982
749,SQA_00149,0.9712
750,SQA_00000,0.2694
751,SQA_00001,0.2712
752,SQA_00002,0.9568
753,SQA_00003,0.9603999999999999
754,SQA_00004,0.28559999999999997
755,SQA_00005,0.985
756,SQA_00006,0.976
757,SQA_00007,0.976
758,SQA_00008,0.9568
759,SQA_00009,0.9568
760,SQA_00010,0.2784
761,SQA_00011,0.2955
762,SQA_00012,0.2784
763,SQA_00013,0.9496
764,SQA_00014,0.29100000000000004
765,SQA_00015,0.2784
766,SQA_00016,0.964
767,SQA_00017,0.9768571428571429
768,SQA_00018,0.26039999999999996
769,SQA_00019,0.2784
770,SQA_00020,0.9783999999999999
771,SQA_00021,0.276
772,SQA_00022,0.28559999999999997
773,SQA_00023,0.9712
774,SQA_00024,0.29100000000000004
775,SQA_00025,0.9712
776,SQA_00026,0.29279999999999995
777,SQA_00027,0.28559999999999997
778,SQA_00028,0.2897142857142857
779,SQA_00029,0.2802
780,SQA_00030,0.964
781,SQA_00031,0.2892
782,SQA_00032,0.28200000000000003
783,SQA_00033,0.2964
784,SQA_00034,0.2712
785,SQA_00035,0.2712
786,SQA_00036,0.2712
787,SQA_00037,0.9794285714285713
788,SQA_00038,0.2712
789,SQA_00039,0.2784
790,SQA_00040,0.3
791,SQA_00041,0.2478
792,SQA_00042,0.2496
793,SQA_00043,0.284
794,SQA_00044,0.3
795,SQA_00045,0.9783999999999999
796,SQA_00046,0.28559999999999997
797,SQA_00047,0.9783999999999999
798,SQA_00048,0.3
799,SQA_00049,0.2802
800,SQA_00050,0.276
801,SQA_00051,0.3
802,SQA_00052,0.276
803,SQA_00053,0.294
804,SQA_00054,0.976
805,SQA_00055,0.276
806,SQA_00056,0.3
807,SQA_00057,0.2694
808,SQA_00058,0.2622
809,SQA_00059,0.9794285714285713
810,SQA_00060,0.276
811,SQA_00061,0.26914285714285713
812,SQA_00062,0.976
813,SQA_00063,0.29279999999999995
814,SQA_00064,1.0
815,SQA_00065,0.2622
816,SQA_00066,0.27525
817,SQA_00067,0.9568
818,SQA_00068,0.298
819,SQA_00069,0.2694
820,SQA_00070,0.9794285714285713
821,SQA_00071,0.294
822,SQA_00072,0.29742857142857143
823,SQA_00073,0.28200000000000003
824,SQA_00074,0.9794285714285713
825,SQA_00075,0.26039999999999996
826,SQA_00076,0.276
827,SQA_00077,0.252
828,SQA_00078,0.2784
829,SQA_00079,0.294
830,SQA_00080,0.264
831,SQA_00081,0.28200000000000003
832,SQA_00082,0.2676
833,SQA_00083,0.29100000000000004
834,SQA_00084,0.276
835,SQA_00085,0.3
836,SQA_00086,0.9712
837,SQA_00087,0.3
838,SQA_00088,0.276
839,SQA_00089,0.28875
840,SQA_00090,0.976
841,SQA_00091,0.3
842,SQA_00092,0.2748
843,SQA_00093,0.279
844,SQA_00094,0.2897142857142857
845,SQA_00095,0.3
846,SQA_00096,0.2802
847,SQA_00097,0.2496
848,SQA_00098,0.276
849,SQA_00099,0.964
850,SQA_00100,0.284
851,SQA_00101,0.264
852,SQA_00102,0.276
853,SQA_00103,0.276
854,SQA_00104,0.976
855,SQA_00105,0.2794285714285714
856,SQA_00106,0.28200000000000003
857,SQA_00107,0.2712
858,SQA_00108,0.28500000000000003
859,SQA_00109,0.264
860,SQA_00110,0.2964
861,SQA_00111,0.9496
862,SQA_00112,0.28200000000000003
863,SQA_00113,0.2784
864,SQA_00114,0.276
865,SQA_00115,0.273
866,SQA_00116,0.976
867,SQA_00117,0.2955
868,SQA_00118,0.276
869,SQA_00119,0.9712
870,SQA_00120,0.2694
871,SQA_00121,0.276
872,SQA_00122,0.294
873,SQA_00123,0.974
874,SQA_00124,0.2794285714285714
875,SQA_00125,0.2694
876,SQA_00126,0.976
877,SQA_00127,0.2712
878,SQA_00128,0.2784
879,SQA_00129,0.2694
880,SQA_00130,0.29279999999999995
881,SQA_00131,0.264
882,SQA_00132,0.3
883,SQA_00133,0.264
884,SQA_00134,0.2955
885,SQA_00135,0.2694
886,SQA_00136,0.9954999999999999
887,SQA_00137,0.2676
888,SQA_00138,0.982
889,SQA_00139,0.2712
890,SQA_00140,0.9855999999999999
891,SQA_00141,0.9496
892,SQA_00142,0.9712
893,SQA_00143,0.29279999999999995
894,SQA_00144,0.2712
895,SQA_00145,0.96175
896,SQA_00146,0.2712
897,SQA_00147,0.2712
898,SQA_00148,0.9783999999999999
899,SQA_00149,0.973
900,SQA_00000,0.982
901,SQA_00001,0.982
902,SQA_00002,0.9665714285714285
903,SQA_00003,0.976
904,SQA_00004,0.28559999999999997
905,SQA_00005,0.276
906,SQA_00006,0.982
907,SQA_00007,0.976
908,SQA_00008,0.9712
909,SQA_00009,0.2794285714285714
910,SQA_00010,0.28200000000000003
911,SQA_00011,0.294
912,SQA_00012,0.29742857142857143
913,SQA_00013,1.0
914,SQA_00014,0.29100000000000004
915,SQA_00015,0.2892
916,SQA_00016,0.264
917,SQA_00017,0.2955
918,SQA_00018,0.2712
919,SQA_00019,0.2766
920,SQA_00020,0.28200000000000003
921,SQA_00021,0.2964
922,SQA_00022,0.9783999999999999
923,SQA_00023,0.9712
924,SQA_00024,0.964
925,SQA_00025,0.2766
926,SQA_00026,0.28200000000000003
927,SQA_00027,0.2784
928,SQA_00028,0.28714285714285714
929,SQA_00029,0.266
930,SQA_00030,0.955
931,SQA_00031,0.3
932,SQA_00032,0.2955
933,SQA_00033,0.2712
934,SQA_00034,0.2712
935,SQA_00035,0.3
936,SQA_00036,0.988
937,SQA_00037,0.3
938,SQA_00038,0.26039999999999996
939,SQA_00039,0.2892
940,SQA_00040,0.29100000000000004
941,SQA_00041,0.292
942,SQA_00042,0.2496
943,SQA_00043,0.284
944,SQA_00044,0.3
945,SQA_00045,0.976
946,SQA_00046,0.28559999999999997
947,SQA_00047,0.273
948,SQA_00048,0.2676
